orientation_roll,orientation_pitch,orientation_yaw,offset_x,offset_y,offset_z,approach_dir_x,approach_dir_y,approach_dir_z,approach_distance,label,object_type
-3.139850407084691,0.4460451432972904,-1.4269528876903448,0.0,0.0,0.0,0.06145929427006669,-0.42713567839195976,0.9020963736721624,0.2,1,Cylinder
2.875472497900272,1.1263257830653226,2.744769552276366,0.0,0.0,0.0,-0.9117363756507583,0.015075376884422067,0.4104991039296092,0.2,1,Cylinder
-3.141107581091553,1.1229620164741432,-2.0506811792531034,0.0,0.0,0.0,-0.4168912526733949,-0.798994974874372,0.4333690270080565,0.19999999999999998,1,Cylinder
3.1412612270446574,0.4877146451849437,1.5016970538441243,0.0,0.0,0.0,0.0322187036867989,0.46733668341708545,0.88349215020025,0.2,0,Cylinder
-3.141452282139303,0.47960253291551147,2.749579459915087,0.0,0.0,0.0,-0.42591809805331965,0.1758793969849246,0.8875022318095105,0.2,0,Cylinder
3.140586406263125,0.9568821120424835,0.875538180244471,0.0,0.0,0.0,0.5227936958057621,0.6281407035175879,0.5763037464828613,0.2,1,Cylinder
3.139560027744469,0.9029233872823836,-0.07256597805134735,0.0,0.0,0.0,0.7834120494332515,-0.05527638190954765,0.6190396452617415,0.2,1,Cylinder
3.141458326077487,1.1270921856031066,-0.20755307032524106,0.0,0.0,0.0,0.8837511743868903,-0.18592964824120603,0.4294345441096856,0.2,0,Cylinder
-3.1413953387574822,0.7241061824820869,2.6593095903486454,0.0,0.0,0.0,-0.5864911181875114,0.3065326633165829,0.7497105405469532,0.2,1,Cylinder
-3.141206786474123,1.1238122813481284,-1.1391489602679563,0.0,0.0,0.0,0.37706811507358173,-0.8190954773869348,0.43232191191185937,0.2,1,Cylinder
3.141404696059714,0.8819683382010326,-1.9430631910980782,0.0,0.0,0.0,-0.28094493213142235,-0.7185929648241205,0.6361557167981364,0.2,1,Cylinder
3.1410953080821344,0.8606543842615696,-2.2527900707559136,0.0,0.0,0.0,-0.478048095991364,-0.5879396984924623,0.6525311707923417,0.2,1,Cylinder
3.14129588696713,1.0955932966748332,-2.764531969441512,0.0,0.0,0.0,-0.8268465533190916,-0.32663316582914564,0.4578597517196379,0.2,1,Cylinder
3.139911554405935,0.9369417752259586,-2.9963022816205855,0.0,0.0,0.0,-0.7970424028473695,-0.11557788944723613,0.5927606258298658,0.2,1,Cylinder
-3.1415637026031273,0.6495202502598787,-1.1750290146624163,0.0,0.0,0.0,0.2329008896986813,-0.5577889447236182,0.7966358444871002,0.2,1,Cylinder
-3.141588003615589,0.8813106050321414,-1.1025825916990495,0.0,0.0,0.0,0.3482534588286604,-0.6884422110552764,0.6362128971116484,0.2,1,Cylinder
-3.0679851260152886,0.3944521221729938,-2.5182333850380854,0.0,0.0,0.0,-0.35180890945281273,-0.16582914572864316,0.9212660775566042,0.2,1,Cylinder
-3.1413156534887468,0.6949081632589221,-1.6496437048936308,0.0,0.0,0.0,-0.05056080027208126,-0.6381909547738693,0.7682160573176428,0.2,1,Cylinder
3.1413698013301885,0.8875242205982221,1.9191462450982772,0.0,0.0,0.0,-0.26441071377522135,0.728643216080402,0.6317958832573118,0.2,1,Cylinder
3.141154977348832,0.9425437156449098,-2.5401870700682125,0.0,0.0,0.0,-0.6673530065203199,-0.45728643216080417,0.5878172195929039,0.2,1,Cylinder
3.141067920277054,0.9780460674344261,2.2442304266517334,0.0,0.0,0.0,-0.5170748176524634,0.6482412060301508,0.558942726720947,0.2,1,Cylinder
3.141489847441612,0.3345910100093146,-0.015501035028352523,0.0,0.0,0.0,0.3292513656371048,-0.005025125628140614,0.944228937460891,0.19999999999999998,1,Cylinder
3.1409463200584007,0.7616678245657249,1.3889634625228788,0.0,0.0,0.0,0.1244407037794219,0.6783919597989949,0.7240848431799696,0.2,1,Cylinder
3.1415919204280693,0.5667797851396587,-0.2555252744487418,0.0,0.0,0.0,0.5194743030160943,-0.13567839195979903,0.8436455549940071,0.2,0,Cylinder
-3.140557730524746,1.029888384270328,2.875859269792315,0.0,0.0,0.0,-0.8269612781404972,0.22613065326633167,0.514781479959776,0.2,1,Cylinder
-3.14085364820407,0.8867953841082769,-1.4459589404404054,0.0,0.0,0.0,0.09598825017714659,-0.7688442211055277,0.6321904930482296,0.20000000000000007,1,Cylinder
-3.140116701419446,0.7247460462178259,0.682578948852305,0.0,0.0,0.0,0.5154374343379938,0.4170854271356784,0.7485746440764041,0.2,1,Cylinder
3.1387313320814085,0.5088658460931668,0.4333731283909324,0.0,0.0,0.0,0.4425245181510885,0.20603015075376888,0.8727677971920861,0.2,1,Cylinder
-2.8631765208185342,0.016715807102885668,-2.844956893405873,0.0,0.0,0.0,-0.09389636245038212,0.2562814070351759,0.9620308277423635,0.2,1,Cylinder
3.0535409406541727,0.015485936567950373,-3.139523740965808,0.0,0.0,0.0,-0.01458087003465913,-0.085427135678392,0.9962377239990553,0.20000000000000004,1,Cylinder
3.1415427188452596,0.6210874998515719,-2.4361983975293864,0.0,0.0,0.0,-0.4428775827665297,-0.3768844221105528,0.8135217139408575,0.2,0,Cylinder
3.1366367916348437,1.193541217058737,0.40217685914953333,0.0,0.0,0.0,0.8564020119359347,0.36683417085427145,0.3633294442317365,0.2,1,Cylinder
-3.1387739658727365,1.0428142928686341,0.1842196225440682,0.0,0.0,0.0,0.8497757597940307,0.15577889447236182,0.5036011259950146,0.20000000000000004,1,Cylinder
-3.1405195546277036,0.689066760133056,0.12031630205223913,0.0,0.0,0.0,0.6313864702597708,0.07537688442211055,0.7717962493221403,0.2,1,Cylinder
